@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
70,'2024/11/10 16:14:50:850',1,0.448776,0.336082,0.489759,0.339654,0.543951,0.336949,0.585831,0.329305,0.517247,0.441081,0.515819,0.282597,0.489186,0.511447,0.547294,0.510262,0.518055,0.511269,0.518056,0.517225,0.55,0,0
71,'2024/11/10 16:14:50:884',1,0.448845,0.336109,0.489841,0.339657,0.543783,0.336702,0.585655,0.32882,0.517286,0.441867,0.515728,0.283084,0.489608,0.511424,0.547322,0.51012,0.518246,0.511344,0.518254,0.517627,0.55,0,0
72,'2024/11/10 16:14:50:917',1,0.448676,0.336074,0.489659,0.339816,0.543789,0.336987,0.585709,0.329028,0.516998,0.442463,0.51562,0.283656,0.489419,0.511458,0.547224,0.510293,0.518012,0.511762,0.518048,0.517791,0.55,0,0
73,'2024/11/10 16:14:50:949',1,0.448879,0.33618,0.489772,0.339746,0.543531,0.336968,0.58512,0.329142,0.517385,0.442052,0.515728,0.283622,0.489196,0.51158,0.547128,0.510424,0.518064,0.51194,0.518093,0.517686,0.55,0,0
74,'2024/11/10 16:14:53:315',2,0.455888,0.31842,0.497032,0.32059,0.55057,0.318315,0.591248,0.312262,0.525546,0.418191,0.523734,0.262952,0.48599,0.465146,0.561956,0.465151,0.524621,0.473691,0.524359,0.476556,0.55,0.15,0
75,'2024/11/10 16:14:53:349',2,0.455756,0.318003,0.497037,0.320197,0.550819,0.317985,0.591452,0.312022,0.52606,0.416364,0.523979,0.262657,0.486485,0.464717,0.561505,0.464769,0.524849,0.472352,0.524622,0.476582,0.55,0.15,0
76,'2024/11/10 16:14:53:382',2,0.455822,0.317932,0.497062,0.32018,0.550849,0.317776,0.591539,0.311536,0.525974,0.417065,0.523931,0.26247,0.486495,0.464533,0.561593,0.464301,0.524884,0.47231,0.524646,0.475813,0.55,0.15,0
77,'2024/11/10 16:14:53:416',2,0.456176,0.317731,0.497418,0.319897,0.550925,0.317292,0.591604,0.310736,0.526462,0.417103,0.524083,0.262126,0.486676,0.464643,0.562453,0.463826,0.525493,0.47277,0.525307,0.476104,0.55,0.15,0
78,'2024/11/10 16:14:53:449',2,0.455878,0.317551,0.497083,0.319541,0.551006,0.316978,0.591768,0.31074,0.525972,0.415958,0.523873,0.26107,0.485993,0.463597,0.562297,0.463336,0.524947,0.47158,0.524733,0.47626,0.55,0.15,0
79,'2024/11/10 16:14:53:482',2,0.456174,0.316992,0.497314,0.319233,0.550967,0.316664,0.591724,0.310088,0.525996,0.41565,0.523878,0.260832,0.485964,0.463344,0.562507,0.463174,0.524983,0.470951,0.5248,0.476946,0.55,0.15,0
